LP	color	size	shape	taste	weight	fruit				
1	yellow	big	round	sour	0.6000	Grapefruit				
2	green	medium	round	sweet	0.5000	Apple				
3	green	medium	round	sour	0.1000	Lemon				
4	red	medium	round	sweet	0.3000	Apple				
5	green	medium	round	sour	0.1000	Lemon				
6	red	small	round	sweet	0.1000	Cherry				
7	green	medium	round	sour	0.3000	Apple				
8	red	medium	round	sweet	0.4000	Apple				
9	green	big	round	sour	0.5000	Grapefruit				
10	green	small	round	sweet	0.1000	Grape				
11	red	medium	round	sour	0.4000	Apple				
12	maroon	small	round	sweet	0.2000	Grape				
13	green	small	round	sour	0.1000	Grape				
14	green	medium	elongated	sweet	0.2000	Banana				
15	yellow	medium	elongated	sweet	0.3000	Banana				
16	yellow	big	elongated	sweet	0.3000	Banana				
17	green	big	round	sweet	0.4000	Apple				
18	green	medium	round	sour	0.1000	Lemon				
19	yellow	medium	round	sour	0.2000	Lemon				
20	yellow	small	round	sour	0.1000	Lemon				
21	red	big	round	sweet	0.5000	Apple				
										
Grapefruit										
B = {1, 9}										
T(G) = {(color, yellow), (color, green), (size, big), (shape, round), (taste, sour), (weighth, 0.6), (weight, 0.5)}										
B = G = {1, 9} 										
										
(color, yellow) = {1}, {15, 16, 19, 20}										
(color, green) = {9},  {2, 3, 5, 7, 10, 13, 14, 17, 18}										
(size, big) ={1, 9},   {16, 17, 21}										
(shape, round) = {1,9},  {   2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 17, 18, 19, 20, 21}										
(taste, sour) = {1, 9}, {3, 5, 7, 11, 13, 18, 19, 20}										
(weight, 0.6) = {1}										
(weight, 0.5 = {9}, {2, 21}										
										
REGULA 1	JEZELI size = big ORAZ taste = sour TO fruit JEST Grapefruit									
										
										
Apple										
B = {2, 4, 7, 8, 11, 17, 21}										
T(G) = {(color, green), (color, red), (size, medium), (size, big), (shape, round), (taste, sweet), (taste, sour), (weight, 0.5), (weight, 0.3), (weight, 0.4)}										
B = G = {2, 4, 7,  8, 11, 17, 21}										
										
